50020,"SƠN NỮ CA","Một đêm trong rừng vắng...",Trần Hoàn
54569,"SƠN TINH THUỶ TINH","Trời sáng mơ hồ, tiếng ai thét làm rung động giang sơn...",Nguyễn Hữu Nhuận
54826,"SÓNG RU","Chiều nay sóng xô bờ chiều nay em nhớ anh...",Nguyễn Ngọc Tài
53049,"SÓNG TÌNH","Này người yêu dấu ơi, em đã nghe gì trong tiếng sóng...",Tuấn Khanh
51047,"SÓNG VỀ ĐÂU","Biển sóng biển sóng...",Trịnh Công Sơn
52556,"SÓNG XÔ TÌNH VỠ","Thấp thoáng mây cuối trời, nghe tình sóng vỗ...",Nguyễn Minh Anh
51453,"SÓNG","Sóng cứ thế cứ thế...",Võ Thiện Thanh
50792,"SUỐI MƯỜNG HUM CÒN CHẢY MÃI","Bản Mường Hum non ngàn...",Nguyễn Tài Tuệ
50019,"SUỐI MƠ","Suối mơ bên rừng thu vắng...",Văn Cao
54330,"SUỐI TÓC","Tìm cho thấy liễu xanh xanh lả lơi, hay đi tìm...",Y Vân - Văn Phụng
50889,"SÚT SÚT SÚT NỮA ĐI","Vì sao tôi say mê đá banh...",Tô Thanh Tùng
55113,"SỰ DỊU DÀNG NGUY HIỂM","Em à, người con gái dễ thương mà anh đã giành lấy được...",Phạm Trưởng
54828,"SỰ THẬT MỘT GIẤC MƠ","Đêm nay không có em... Đêm nay không còn anh bên cạnh em...",Phạm Trưởng
54570,"SỰ THẬT MỘT TÌNH YÊU","Một lần sau cuối anh sẽ quên em trong cuộc đời, một lần sau cuối...",Quang Mẫn
54331,"SƯƠNG ĐÊM","Có chiếc lá rơi trong chiều vàng, những ước muốn...",Nguyễn Quốc Dũng
55418,"SƯƠNG ĐÊM","Đêm buông thật êm lòng tôi cô quạnh ôm mối sầu vương...",Trần Thanh Tùng
53050,"SỨC TRẺ THÀNH PHỐ ANH HÙNG","Dưới cờ Đoàn thanh niên, ta đi vào kỷ nguyên mới...",Viết Duy
52814,"TA","Ta say trong nỗi buồn, ta cười với niềm đau...",Quốc Dũng - Phạm Ngọc
51270,"TA CHẲNG CÒN AI","Ngày anh ra đi...",Đức Trí
54571,"TA ĐÃ TỪNG YÊU","Còn gì mà tìm đến nhau nữa khi chúng ta không cần nhau...",Thái Thịnh
54829,"TA ĐÃ XA NHAU","Từ khi em xa anh trái tim anh giờ đây giá băng...",Quang Mẫn
52084,"TA ĐÂU CÓ SAY","Hãy đến bên ta đêm nay cạn chén rượu buồn...",Duy Mạnh
53801,"TA ĐI TÌM EM","Thành Đô Lâm An Đại Lý ta tìm nàng...",Kim Minh Huy
50407,"TA NHỚ EM","Ta yêu em một chiều...",Trung Cẩn
52815,"TA THẤY GÌ ĐÊM NAY","Ta đã thấy gì trong đêm nay cờ bay trăm ngọn cờ bay...",Trịnh Công Sơn
53051,"TACANÔ NHÂN CHỨNG QUẢ CẢM","Xin hát về người con của Đất nước tuyết trắng Fu Gi hùng vĩ...",Phó Đức Phương
51228,"TÀ ÁO ĐÊM NOEL","Bầu trời hun hút cơn gió se lạnh tới...",Hoài Linh
50253,"TÀ ÁO TÍM","Một chiều lang thang bên dòng Hương Giang ...",Hoàng Nguyên
50420,"TÀ ÁO XANH","Gió bay từ muôn phía...",Đoàn Chuẩn - Từ Linh
50135,"TẠ ƠN","Dù đến rồi đi tôi cũng xin tạ ơn người...",Trịnh Công Sơn
54572,"TA THUỘC VỀ NHAU","Là lá la... Mình bên nhau bao lâu, thời gian trôi...",Minh Thư
54332,"TẠ TỪ","Rồi đây khi mùa dứt chiến chinh, gió dâng khúc đàn...",Tô Vũ
51668,"TẠI SAO","Na na na... Giờ đây đứng bên người, em mong ước sao...","Nhạc Anh, Lời Việt: Lê Hựu Hà"
53299,"TẠM BIỆT","Trời làm mây xám che ngang lối về...",Hồ Hoài Anh
54333,"TẠM BIỆT","Ngày vui đã xa dần, đã xa rồi đó và giây phút tạm biệt...",Ngọc Châu
50388,"TẠM BIỆT CHIM ÉN","Tạm biệt chim én xưa...",Trần Tiến
55114,"TẠM BIỆT HUẾ","Theo em lên những ngôi đền, chén vàng chén ngọc...","Nhạc: Xuân An, Lời: Thu Bồn"
50732,"TẠM BIỆT MÙA HÈ","Tạm biệt nhé những khung trời...",Đoàn Xuân Mỹ
54573,"TẠM BIỆT TÌNH YÊU","Chỉ có em trong màn đêm, căn phòng vắng nhớ đến anh...",Minh Nhiên
54334,"TAN BIẾN","Khi sương tan mau, chút ánh sáng nhạt màu, con đường...",Nguyễn Hải Phong
50764,"TAN TÁC","Ta đưa người đi đường về tình chia hai lối...","Nhạc ngoại, Lời Việt: Tứ My"
52557,"TAN VỠ","Cuộc tình như cơn gió thoáng qua đời em...",Thái Thịnh
50485,"TAN VỠ","Từng giọt lệ tràn bờ mi...",Nhạc ngoại
53945,"TÁT NƯỚC ĐẦU ĐÌNH","Đêm qua tát nước ối a chứ đầu đình...","Nhạc: Y Vân, Lời: Dân ca"
53484,"TÀN ĐÊM GỐI MỘNG","Hoa xưa nay đã tàn rồi, nụ cười héo hắt khi con tim vỡ tan...","Phạm Thương Thuyết, Thơ: Hồ Mỹ Lệ"
50486,"TÀN TRO","Giọt nước rơi hay giọt sầu...",Nhạc ngoại
52679,"TÂM SỰ HAI NGƯỜI ĐÀN ÔNG","Tôi kể anh nghe, tình tôi ngày ấy đang yên vui...",Vũ Quốc Việt
52418,"TÂM SỰ MỘT LỜI CA","Khi biết yêu đầu tiên, tình em đã trao về anh...",Tiến Luân - Đynh Trầm Ca
51166,"TÂM SỰ VỚI ANH","Anh vô tình anh chẳng hiểu...",Hoàng Trang
52816,"TẤM ẢNH KHÔNG HỒN","Tôi ngó về cuối trời, tay ôm kỷ vật giữa tôi với người...",Hoài An
51730,"TẤM ÁO CHIẾN SĨ MẸ VÁ NĂM XƯA","Tấm áo ấy bấy lâu nay con thường vẫn mặc...",Nguyễn Văn Tý
51361,"TÂM HỒN XAO ĐỘNG","Đời anh như con thuyền trôi...","Nhạc Hoa, Lời Việt: Chu Minh Ký"
53338,"TẦM GỬI","Em đi về đâu hỡi anh trên con đường đầy mưa gió...",Trương Lê Sơn
53485,"TẬN CÙNG NỖI NHỚ","Bùi ngùi ngơ ngác mắt buồn hiu hắt giữa chiều đang phai tàn...",Hoàng Trang
51621,"TÂN DÒNG SÔNG LY BIỆT (CHIA XA)","Ôi cuộc đời tại sao...","Nhạc Hoa, Lời Việt: Tuấn Hưng"
55420,"TẬP QUÊN","Tôi đã hứa rằng tôi sẽ quên, quên đi bóng hình xưa của em...",Phạm Trưởng
53197,"TÀU ANH QUA NÚI","Đi dọc Việt Nam theo bánh con tàu quay...",Phan Lạc Hoa
50268,"TÀU VỀ QUÊ HƯƠNG","Anh ơi đô thành ở đây em sống không quen...",Hồng Vân
52417,"TAXI","Anh không cần em để cho mắt môi em buồn...",Sĩ Luân
55419,"TAY ANH NẮM TAY EM","Ngồi ngắm mây trời sớm mai trôi theo làn gió hững hờ...",Vĩnh Tâm
50735,"TẶNG VẬT","Bình minh trên cánh đồng...",A Khuê
54830,"THÀ ANH NÓI","Đã hết rồi người ơi vầng trăng đã không còn soi bóng ...",Lư Anh
52680,"THÀ ANH NÓI MỘT LỜI","Anh ơi còn không bao lời yêu em đắm say, sao anh...",Đồng Giao
51944,"THÀ CÔ ĐƠN","Buồn nào hơn đêm nay khi thấy em trên đường phố...",Ngọc Sơn
52936,"THÀ LÀ QUÊN ĐI","Ngày xưa ngây thơ nên tôi đã tin em, trọn tình yêu trong tôi...",Thái Thịnh
50928,"THÀ LÀM HẠT MƯA BAY","Thà làm hạt mưa bay...",Trần Thanh Tùng
52419,"THÀ LÀM NGƯỜI BẠN THÂN","Mình chỉ là người bạn thân thôi, chứ đừng nên...",Minh Khang
51723,"THÀ MỘT LẦN ĐAU","Cứ mãi nhắm mắt bước đi trong mơ ...",Nguyễn Hoài Anh
55115,"THÀ NGƯỜI ĐỪNG ĐẾN","Từ khi anh đến cho lòng em nhớ thương...",Nhất Trung
52817,"THÀ NGƯỜI ĐỪNG NÓI","Dù nhiều người nói với tôi rằng em đổi thay, mà sao tôi...",Trung Quân
51669,"THÀ RẰNG CHIA TAY","Một mai ta nhận ra...",Hoài An
51670,"THÀ RẰNG NHƯ THẾ","Cố giấu nước mắt lặng thầm nhìn nhau nghe nhói lòng...",Nguyễn Hoài Anh
54574,"THA THỨ CHO EM","Một lần cuối ta nói với nhau lời chia tay, một lần sau cuối...",Trương Lê Sơn
54335,"THAM PHÚ PHỤ BẦN","Tiếng chim kêu nghe buồn da diết, ánh trăng khuya...",Tô Phương Trang
52818,"THẦM KÍN","Xin trả lại anh lời nói yêu đầu, cùng màu thư xanh anh viết...",Nguyễn Văn Đông
52085,"THẦM MONG","Khi con tim yêu đương ấm nồng, có ai hay ai đang bơ vơ...",Hoài An
54336,"THẦM YÊU","Người yêu hỡi có biết tim anh xuyến xao bồi hồi...",Tiến Minh
51367,"THÂN CON GÁI KIẾP CON TRAI","Anh lang thang trên phố...",Quốc Hùng
